RR;N;N_count;PFS;OS;Observation time;Ptrt;Cent;Rand;G1_1;chemo.t;target;IF_orig;IF;OS2;PFS2;this is meta-data, arms without data are deleted automaticly, final n=81 ;
;225;1;7,4;7,6;17,9;1;1;0;1;0;1;;0;71,25;69,375
;172;1;9,67;27,4 ìåñÿöà (95% ÄÈ 22,9–32,7);48,1;0;1;0;0;0;1;0,91;0;172;69,30166667
12;40;1;9,7;33;54;1;1;0;0;0;1;0,34;0;40;16,16666667
;25;0;;71%;24;1;1;0;1;1;0;2,87;0;25;
;50;1;;23%;24;1;1;0;1;1;0;2,87;0;23;
;149;1;6,6;10,2;;0;0;0;0;1;0;2,9;0;63,23218542;40,975
;95;1;5,6;11,1;;0;0;0;0;1;0;;0;44,08730313;22,16666667
;69;1;89,30%;92,70%;65;0;1;1;1;0;1;5,41;0;69;69
;95;1;;;65;0;1;1;1;0;1;5,41;0;;
8;25;0;11,63;21,4;;1;0;0;0;0;1;0,8;0;22,29166667;
46,2;105;1;7,7;;;0;1;0;0;0;1;4,6;0;;
;57;1;96,30%;87,70%;34,22;0;1;0;0;1;0;0,44;0;57;57
;28;0;67%;77%;60;0;1;0;1;1;0;0,62;0;28;28
;39;0;75%;64%;60;0;1;0;1;1;0;0,62;0;39;39
;;;;;;0;0;1;1;1;0;0,86;0;;
9,89;23;0;7,2;27,7;48;0;0;1;1;1;0;;0;23;6,9
;;;;;48;0;0;1;1;1;0;;0;;
5,4;18;0;9;39,2;48;0;0;1;1;1;0;;0;18;6,75
;;;;;48;0;0;1;1;1;0;;0;;
;;;7,1;;;0;1;1;0;1;0;2,9;0;;
;315;1;6,7;20,3 (ð=0,010);;0;1;1;0;1;0;;0;266,4375;87,9375
;150;1;7,1;19,3 (ð=0,010);;0;1;1;0;1;0;;0;120,625;44,375
;85;1;7,6;16,6 (ð=0,010);;0;1;1;0;1;0;;0;58,79166667;26,91666667
;18;0;7,8;14,1 (ð=0,010);;0;1;1;0;1;0;;0;10,575;5,85
;45;1;2,6;8,3;;1;0;0;0;0;1;1,49;0;15,5625;4,875
22,308;143;1;;13;;1;1;0;0;0;1;2,9;0;77,45833333;
;139;1;;11,7;98;0;1;0;1;1;0;0,62;0;67,7625;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;83;1;55;66;73;;;;;;;;;;
